file,severity,type,desc
_normalized/tools-hub/glossary/tools-hub-glossary-cloud-tools.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-data-export.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-freemium.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-integration.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-keyboard-shortcuts.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-markdown.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-offline-first.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-onboarding.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-open-source.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-personal-stack.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-privacy-check.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-safe-testing.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-tool-evaluation.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-tool-overload.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-tool-selection.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-user-interface.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-vendor-lock-in-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/glossary/tools-hub-glossary-workflow.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-automate-task.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-compare-tools.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-free-alternatives.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-learn-tool.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-markdown-conversion.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-privacy-analysis.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-prompt-engineering.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/tools-hub/prompts/tools-hub-prompt-simplify-workflow.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
